player_name,junior_ranking,year
Gael Monfils,1,2004
Donald Young,1,2005
Thiemo De Bakker,1,2006
Ricardas Berankis,1,2007
Tsung-Hua Yang,1,2008
Daniel Berta,1,2009
Juan Sebastian Gomez,1,2010
Jiri Vesely,1,2011
Filip Peliwo,1,2012
